Month,k,c,RMSE,Mean wind speed,Standard Deviation,Max Speed,Generations Ran
January,1.730295873640355,4.19357482410424,0.034133229551891776,3.5349462365591395,1.9769808963618982,20.909048542664245,2000
February,1.5539947341238698,4.263972641371435,0.05321049379767898,3.83402995471961,2.4376170245590316,25.510807371867724,2000
March,1.699590887545629,4.613819397328386,0.034541065153357434,4.504724666014988,3.2175482861518536,23.681875141331933,2000
April,1.4231359644800003,6.633386990000316,0.015773242055004993,5.906144781144781,3.9473665646035054,46.78242803026861,2000
May,2.0004889471765512,7.464944817344972,0.009332744209282555,6.537552948843271,3.570111756597119,29.959594017703594,2000
June,2.172663080432464,7.089950124378428,0.007049922521893791,6.662438694402165,4.1060596916016845,25.487486223361326,2000
July,2.3155925071746375,7.107493287002473,0.012191660702899556,6.372596937113067,3.056252585692764,23.61026290611536,2000
August,2.5166786236232177,7.985513540758083,0.016115876538798733,6.642228739002933,2.9057504412519033,24.100601436901975,2000
September,1.7779669009470513,6.793168891123515,0.01602201423078309,6.128367003367004,3.8221860841202164,32.442487566164374,2000
October,1.556819349544942,5.522093396300041,0.023683887725358524,4.979635060280221,3.26339852168722,32.930926928713006,2000
November,1.3779837098625127,6.5706779432362685,0.014203641743049512,5.71530939133367,3.8763592482478515,49.40322723870107,2000
December,1.5031939051133054,5.274959352934619,0.024869040611438516,5.366976213750408,4.092650344416893,33.526234626150575,2000
