"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-85.81","79.99","EUREKA A","2401203","2024-01-01 00:00","2024","01","01","00:00","","-38.0","","-42.3","","65","","","","8","","5","","24.1","","101.07","","","","-45","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-01-01 01:00","2024","01","01","01:00","","-36.9","","-41.1","","66","","","","3","","14","","24.1","","101.08","","","","-49","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-01-01 02:00","2024","01","01","02:00","","-35.5","","-39.8","","66","","","","4","","11","","24.1","","101.09","","","","-46","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-01-01 03:00","2024","01","01","03:00","","-36.3","","-40.6","","66","","","","20","","4","","24.1","","101.10","","","","-41","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-01-01 04:00","2024","01","01","04:00","","-37.3","","-41.6","","65","","","","8","","3","","19.3","","101.07","","","","-41","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-01-01 05:00","2024","01","01","05:00","","-38.0","","-42.3","","65","","","","10","","13","","24.1","","101.06","","","","-50","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-01-01 06:00","2024","01","01","06:00","","-37.0","","-41.3","","66","","","","9","","9","","24.1","","101.06","","","","-47","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-01-01 07:00","2024","01","01","07:00","","-38.7","","-43.1","","65","","","","3","","10","","24.1","","101.02","","","","-50","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-01-01 08:00","2024","01","01","08:00","","-38.1","","-42.4","","65","","","","9","","10","","24.1","","101.03","","","","-49","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-01-01 09:00","2024","01","01","09:00","","-39.2","","-43.6","","64","","","","6","","4","","24.1","","101.02","","","","-45","","Ice Crystals"
