"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-85.81","79.99","EUREKA A","2401203","2024-04-01 00:00","2024","04","01","00:00","","-26.7","","-30.9","","69","","","","27","","7","","24.1","","101.29","","","","-33","","Mostly Cloudy"
"-85.81","79.99","EUREKA A","2401203","2024-04-01 01:00","2024","04","01","01:00","","-24.0","","-27.8","","71","","","","2","","17","","24.1","","101.27","","","","-35","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-04-01 02:00","2024","04","01","02:00","","-24.4","","-28.0","","73","","","","1","","14","","4.8","","101.17","","","","-34","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-04-01 03:00","2024","04","01","03:00","","-23.8","","-27.2","","74","","","","26","","5","","4.8","","101.10","","","","-29","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-04-01 04:00","2024","04","01","04:00","","-23.1","","-26.4","","75","","","","1","","13","","1.6","","101.04","","","","-32","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-04-01 05:00","2024","04","01","05:00","","-20.7","","-23.8","","77","","","","10","","15","","2.0","","100.98","","","","-30","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-04-01 06:00","2024","04","01","06:00","","-20.2","","-23.2","","77","","","","","","0","","2.4","","100.90","","","","","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-04-01 07:00","2024","04","01","07:00","","-19.4","","-22.3","","78","","","","14","","3","","2.4","","100.81","","","","-22","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-04-01 08:00","2024","04","01","08:00","","-19.0","","-21.9","","78","","","","1","","16","","3.2","","100.75","","","","-28","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-04-01 09:00","2024","04","01","09:00","","-14.8","","-17.2","","82","","","","35","","14","","8.1","","100.67","","","","-22","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-04-01 10:00","2024","04","01","10:00","","-11.7","","-14.2","","82","","","","1","","16","","8.1","","100.58","","","","-19","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-04-01 11:00","2024","04","01","11:00","","-12.7","","-16.0","","77","","","","1","","9","","11.3","","100.48","","","","-18","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-04-01 12:00","2024","04","01","12:00","","-12.3","","-15.6","","77","","","","36","","7","","11.3","","100.41","","","","-17","","Cloudy"
"-85.81","79.99","EUREKA A","2401203","2024-04-01 13:00","2024","04","01","13:00","","-10.4","","-14.2","","74","","","","2","","13","","11.3","","100.38","","","","-17","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-04-01 14:00","2024","04","01","14:00","","-12.3","","-15.8","","75","","","","2","","13","","11.3","","100.36","","","","-19","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-04-01 15:00","2024","04","01","15:00","","-11.4","","-14.4","","78","","","","10","","14","","3.2","","100.35","","","","-18","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-04-01 16:00","2024","04","01","16:00","","-11.4","","-14.2","","80","","","","11","","16","","3.2","","100.37","","","","-19","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-04-01 17:00","2024","04","01","17:00","","-12.7","","-15.1","","83","","","","12","","21","","24.1","","100.35","","","","-21","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-04-01 18:00","2024","04","01","18:00","","-12.1","","-14.1","","85","","","","12","","30","","24.1","","100.39","","","","-22","","Mostly Cloudy"
"-85.81","79.99","EUREKA A","2401203","2024-04-01 19:00","2024","04","01","19:00","","-12.7","","-14.9","","84","","","","12","","33","","24.1","","100.40","","","","-23","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-04-01 20:00","2024","04","01","20:00","","-12.5","","-14.7","","84","","","","13","","30","","24.1","","100.44","","","","-23","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-04-01 21:00","2024","04","01","21:00","","-13.3","","-15.8","","82","","","","12","","31","","24.1","","100.49","","","","-24","","Mostly Cloudy"
"-85.81","79.99","EUREKA A","2401203","2024-04-01 22:00","2024","04","01","22:00"
"-85.81","79.99","EUREKA A","2401203","2024-04-01 23:00","2024","04","01","23:00"
"-85.81","79.99","EUREKA A","2401203","2024-04-02 00:00","2024","04","02","00:00","","-15.2","","-18.0","","80","","","","14","","28","","24.1","","100.57","","","","-26","","Mainly Clear"
"-85.81","79.99","EUREKA A","2401203","2024-04-02 01:00","2024","04","02","01:00","","-15.8","","-18.2","","82","","","","36","","13","","24.1","","100.62","","","","-23","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-04-02 02:00","2024","04","02","02:00","","-15.3","","-18.2","","79","","","","6","","11","","24.1","","100.65","","","","-22","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-04-02 03:00","2024","04","02","03:00","","-16.3","","-19.4","","77","","","","12","","31","","24.1","","100.70","","","","-28","","Mainly Clear"
"-85.81","79.99","EUREKA A","2401203","2024-04-02 04:00","2024","04","02","04:00","","-14.2","","-18.2","","72","","","","14","","34","","24.1","","100.73","","","","-26","","Blowing Snow"
"-85.81","79.99","EUREKA A","2401203","2024-04-02 05:00","2024","04","02","05:00","","-14.1","","-18.1","","72","","","","15","","31","","24.1","","100.77","","","","-25","","Blowing Snow"
"-85.81","79.99","EUREKA A","2401203","2024-04-02 06:00","2024","04","02","06:00","","-14.7","","-18.6","","73","","","","16","","34","","24.1","","100.78","","","","-26","","Blowing Snow"
"-85.81","79.99","EUREKA A","2401203","2024-04-02 07:00","2024","04","02","07:00","","-14.5","","-18.6","","71","","","","15","","31","","24.1","","100.75","","","","-26","","Blowing Snow"
"-85.81","79.99","EUREKA A","2401203","2024-04-02 08:00","2024","04","02","08:00","","-15.2","","-18.9","","73","","","","15","","37","","24.1","","100.78","","","","-27","","Blowing Snow"
"-85.81","79.99","EUREKA A","2401203","2024-04-02 09:00","2024","04","02","09:00","","-14.4","","-18.6","","71","","","","16","","21","","24.1","","100.81","","","","-24","","Blowing Snow"
"-85.81","79.99","EUREKA A","2401203","2024-04-02 10:00","2024","04","02","10:00","","-14.9","","-18.6","","74","","","","13","","32","","24.1","","100.81","","","","-26","","Blowing Snow"
"-85.81","79.99","EUREKA A","2401203","2024-04-02 11:00","2024","04","02","11:00","","-14.2","","-19.1","","67","","","","16","","17","","24.1","","100.85","","","","-22","","Blowing Snow"
"-85.81","79.99","EUREKA A","2401203","2024-04-02 12:00","2024","04","02","12:00","","-14.5","","-19.8","","65","","","","18","","9","","24.1","","100.88","","","","-20","","Blowing Snow"
"-85.81","79.99","EUREKA A","2401203","2024-04-02 13:00","2024","04","02","13:00","","-15.3","","-19.8","","69","","","","12","","28","","24.1","","100.93","","","","-26","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-04-02 14:00","2024","04","02","14:00","","-14.3","","-19.4","","66","","","","16","","12","","24.1","","100.98","","","","-21","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-04-02 15:00","2024","04","02","15:00","","-15.0","","-19.9","","67","","","","13","","33","","24.1","","100.98","","","","-27","","Mainly Clear"
"-85.81","79.99","EUREKA A","2401203","2024-04-02 16:00","2024","04","02","16:00","","-15.0","","-19.6","","69","","","","12","","40","","24.1","","101.01","","","","-27","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-04-02 17:00","2024","04","02","17:00","","-15.5","","-19.8","","70","","","","13","","35","","24.1","","101.04","","","","-27","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-04-02 18:00","2024","04","02","18:00","","-18.5","","-22.2","","73","","","","15","","15","","24.1","","101.11","","","","-27","","Mostly Cloudy"
"-85.81","79.99","EUREKA A","2401203","2024-04-02 19:00","2024","04","02","19:00","","-18.5","","-21.8","","75","","","","12","","16","","24.1","","101.12","","","","-28","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-04-02 20:00","2024","04","02","20:00","","-20.3","","-23.4","","77","","","","31","","3","","24.1","","101.14","","","","-23","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-04-02 21:00","2024","04","02","21:00","","-18.4","","-21.4","","78","","","","23","","4","","24.1","","101.17","","","","-22","","Mostly Cloudy"
"-85.81","79.99","EUREKA A","2401203","2024-04-02 22:00","2024","04","02","22:00"
"-85.81","79.99","EUREKA A","2401203","2024-04-02 23:00","2024","04","02","23:00"
"-85.81","79.99","EUREKA A","2401203","2024-04-03 00:00","2024","04","03","00:00","","-23.0","","-26.2","","75","","","","35","","17","","24.1","","101.22","","","","-33","","Mostly Cloudy"
"-85.81","79.99","EUREKA A","2401203","2024-04-03 01:00","2024","04","03","01:00","","-23.1","","-26.4","","74","","","","36","","14","","24.1","","101.26","","","","-33","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-04-03 02:00","2024","04","03","02:00","","-22.9","","-26.1","","75","","","","2","","19","","24.1","","101.32","","","","-34","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-04-03 03:00","2024","04","03","03:00","","-23.3","","-26.7","","74","","","","1","","16","","24.1","","101.33","","","","-33","","Mostly Cloudy"
"-85.81","79.99","EUREKA A","2401203","2024-04-03 04:00","2024","04","03","04:00","","-22.8","","-26.2","","74","","","","1","","16","","24.1","","101.35","","","","-33","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-04-03 05:00","2024","04","03","05:00","","-23.4","","-26.9","","74","","","","2","","15","","24.1","","101.36","","","","-33","","NA"
