"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-85.81","79.99","EUREKA A","2401203","2024-12-01 00:00","2024","12","01","00:00","","-21.1","","-24.2","","76","","","","13","","33","","24.1","","101.50","","","","-35","","Blowing Snow"
"-85.81","79.99","EUREKA A","2401203","2024-12-01 01:00","2024","12","01","01:00","","-20.9","","-24.2","","75","","","","13","","33","","24.1","","101.44","","","","-34","","Blowing Snow"
"-85.81","79.99","EUREKA A","2401203","2024-12-01 02:00","2024","12","01","02:00","","-20.9","","-24.1","","76","","","","13","","36","","24.1","","101.38","","","","-35","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-12-01 03:00","2024","12","01","03:00","","-20.6","","-23.8","","76","","","","13","","39","","24.1","","101.30","","","","-35","","Blowing Snow"
"-85.81","79.99","EUREKA A","2401203","2024-12-01 04:00","2024","12","01","04:00","","-20.6","","-23.7","","77","","","","12","","37","","24.1","","101.21","","","","-34","","Blowing Snow"
"-85.81","79.99","EUREKA A","2401203","2024-12-01 05:00","2024","12","01","05:00","","-20.2","","-23.4","","76","","","","14","","34","","24.1","","101.15","","","","-34","","Blowing Snow"
"-85.81","79.99","EUREKA A","2401203","2024-12-01 06:00","2024","12","01","06:00","","-20.5","","-23.6","","76","","","","12","","36","","24.1","","101.08","","","","-34","","Blowing Snow"
"-85.81","79.99","EUREKA A","2401203","2024-12-01 07:00","2024","12","01","07:00","","-20.4","","-23.4","","77","","","","12","","40","","24.1","","101.00","","","","-35","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-12-01 08:00","2024","12","01","08:00","","-20.7","","-23.4","","79","","","","11","","36","","24.1","","100.89","","","","-34","","Blowing Snow"
"-85.81","79.99","EUREKA A","2401203","2024-12-01 09:00","2024","12","01","09:00","","-20.5","","-23.2","","79","","","","12","","34","","24.1","","100.80","","","","-34","","Blowing Snow"
