"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-85.81","79.99","EUREKA A","2401203","2024-03-01 00:00","2024","03","01","00:00","","-40.7","","-45.3","","62","","","","1","","7","","24.1","","101.56","","","","-50","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-03-01 01:00","2024","03","01","01:00","","-41.6","","-46.3","","62","","","","2","","12","","24.1","","101.54","","","","-54","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-03-01 02:00","2024","03","01","02:00","","-42.2","","-46.9","","62","","","","9","","9","","24.1","","101.51","","","","-53","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-03-01 03:00","2024","03","01","03:00","","-42.0","","-46.6","","62","","","","10","","13","","24.1","","101.45","","","","-55","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-03-01 04:00","2024","03","01","04:00","","-42.8","","-47.5","","62","","","","10","","14","","24.1","","101.40","","","","-57","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-03-01 05:00","2024","03","01","05:00","","-42.4","","-47.1","","62","","","","10","","21","","24.1","","101.33","","","","-59","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-03-01 06:00","2024","03","01","06:00","","-42.1","","-46.8","","62","","","","9","","7","","24.1","","101.22","","","","-51","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-03-01 07:00","2024","03","01","07:00","","-42.8","","-47.5","","61","","","","2","","14","","24.1","","101.12","","","","-57","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-03-01 08:00","2024","03","01","08:00","","-42.7","","-47.4","","61","","","","7","","4","","24.1","","101.06","","","","-49","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-03-01 09:00","2024","03","01","09:00","","-43.9","","-48.6","","61","","","","6","","7","","24.1","","100.96","","","","-53","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-03-01 10:00","2024","03","01","10:00","","-42.2","","-46.9","","62","","","","10","","19","","24.1","","100.88","","","","-58","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-03-01 11:00","2024","03","01","11:00","","-42.4","","-47.1","","62","","","","9","","11","","24.1","","100.79","","","","-55","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-03-01 12:00","2024","03","01","12:00","","-41.5","","-46.1","","62","","","","6","","5","","24.1","","100.68","","","","-49","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-03-01 13:00","2024","03","01","13:00","","-40.1","","-44.7","","63","","","","10","","16","","24.1","","100.63","","","","-54","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-03-01 14:00","2024","03","01","14:00","","-41.6","","-46.2","","62","","","","9","","10","","24.1","","100.57","","","","-53","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-03-01 15:00","2024","03","01","15:00","","-41.5","","-46.2","","62","","","","8","","7","","24.1","","100.53","","","","-51","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-03-01 16:00","2024","03","01","16:00","","-40.8","","-45.4","","62","","","","6","","7","","24.1","","100.51","","","","-50","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-03-01 17:00","2024","03","01","17:00","","-40.9","","-45.5","","62","","","","2","","13","","24.1","","100.41","","","","-54","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-03-01 18:00","2024","03","01","18:00","","-40.2","","-44.8","","63","","","","10","","21","","24.1","","100.37","","","","-56","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-03-01 19:00","2024","03","01","19:00","","-40.5","","-45.1","","63","","","","9","","13","","24.1","","100.32","","","","-53","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-03-01 20:00","2024","03","01","20:00","","-39.6","","-44.1","","63","","","","10","","15","","24.1","","100.26","","","","-53","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-03-01 21:00","2024","03","01","21:00","","-39.4","","-43.9","","63","","","","3","","9","","24.1","","100.21","","","","-50","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-03-01 22:00","2024","03","01","22:00"
"-85.81","79.99","EUREKA A","2401203","2024-03-01 23:00","2024","03","01","23:00"
"-85.81","79.99","EUREKA A","2401203","2024-03-02 00:00","2024","03","02","00:00","","-41.0","","-45.6","","62","","","","8","","5","","24.1","","100.11","","","","-48","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-03-02 01:00","2024","03","02","01:00","","-41.0","","-45.6","","62","","","","10","","13","","24.1","","100.09","","","","-54","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-03-02 02:00","2024","03","02","02:00","","-41.1","","-45.7","","62","","","","10","","14","","16.1","","100.06","","","","-55","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-03-02 03:00","2024","03","02","03:00","","-40.4","","-45.0","","63","","","","11","","10","","16.1","","100.07","","","","-52","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-03-02 04:00","2024","03","02","04:00","","-41.3","","-45.9","","62","","","","9","","13","","12.9","","100.07","","","","-54","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-03-02 05:00","2024","03","02","05:00","","-40.9","","-45.5","","62","","","","36","","16","","24.1","","100.06","","","","-55","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-03-02 06:00","2024","03","02","06:00","","-43.3","","-48.0","","61","","","","11","","21","","24.1","","100.04","","","","-60","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-03-02 07:00","2024","03","02","07:00","","-43.2","","-47.8","","61","","","","9","","11","","24.1","","100.04","","","","-56","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-03-02 08:00","2024","03","02","08:00","","-43.5","","-48.1","","61","","","","6","","6","","24.1","","100.04","","","","-52","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-03-02 09:00","2024","03","02","09:00","","-41.4","","-46.0","","62","","","","9","","17","","24.1","","100.01","","","","-56","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-03-02 10:00","2024","03","02","10:00","","-42.0","","-46.6","","62","","","","6","","6","","24.1","","99.99","","","","-50","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-03-02 11:00","2024","03","02","11:00","","-41.0","","-45.6","","62","","","","9","","12","","24.1","","99.98","","","","-53","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-03-02 12:00","2024","03","02","12:00","","-42.6","","-47.3","","61","","","","2","","12","","24.1","","99.98","","","","-55","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-03-02 13:00","2024","03","02","13:00","","-41.2","","-45.9","","62","","","","8","","6","","24.1","","99.98","","","","-49","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-03-02 14:00","2024","03","02","14:00","","-41.8","","-46.5","","62","","","","8","","4","","24.1","","99.96","","","","-48","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-03-02 15:00","2024","03","02","15:00","","-40.7","","-45.4","","62","","","","10","","12","","24.1","","100.04","","","","-53","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-03-02 16:00","2024","03","02","16:00","","-42.5","","-47.2","","62","","","","6","","5","","24.1","","100.04","","","","-50","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-03-02 17:00","2024","03","02","17:00","","-42.5","","-47.1","","62","","","","3","","8","","24.1","","99.98","","","","-53","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-03-02 18:00","2024","03","02","18:00","","-40.1","","-44.7","","63","","","","1","","13","","24.1","","99.90","","","","-53","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-03-02 19:00","2024","03","02","19:00","","-40.9","","-45.5","","62","","","","11","","15","","24.1","","99.94","","","","-55","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-03-02 20:00","2024","03","02","20:00","","-40.7","","-45.3","","63","","","","36","","12","","16.1","","99.85","","","","-53","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-03-02 21:00","2024","03","02","21:00","","-40.2","","-44.8","","63","","","","9","","8","","16.1","","99.81","","","","-50","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-03-02 22:00","2024","03","02","22:00"
"-85.81","79.99","EUREKA A","2401203","2024-03-02 23:00","2024","03","02","23:00"
"-85.81","79.99","EUREKA A","2401203","2024-03-03 00:00","2024","03","03","00:00","","-40.9","","-45.5","","62","","","","7","","4","","24.1","","99.65","","","","-47","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-03-03 01:00","2024","03","03","01:00","","-41.3","","-45.9","","62","","","","5","","7","","24.1","","99.55","","","","-50","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-03-03 02:00","2024","03","03","02:00","","-40.1","","-44.6","","63","","","","11","","22","","24.1","","99.56","","","","-57","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-03-03 03:00","2024","03","03","03:00","","-39.6","","-44.1","","63","","","","10","","23","","24.1","","99.53","","","","-56","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-03-03 04:00","2024","03","03","04:00","","-38.0","","-42.5","","64","","","","1","","13","","24.1","","99.47","","","","-50","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-03-03 05:00","2024","03","03","05:00","","-37.9","","-42.4","","64","","","","11","","18","","24.1","","99.45","","","","-52","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-03-03 06:00","2024","03","03","06:00","","-35.0","","-39.4","","66","","","","12","","17","","24.1","","99.42","","","","-48","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-03-03 07:00","2024","03","03","07:00","","-33.8","","-38.1","","66","","","","9","","8","","24.1","","99.43","","","","-42","","Ice Crystals"
