"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-85.81","79.99","EUREKA A","2401203","2024-05-01 00:00","2024","05","01","00:00","","-14.9","","-18.1","","77","","","","13","","27","","16.1","","102.15","","","","-25","","Mostly Cloudy"
"-85.81","79.99","EUREKA A","2401203","2024-05-01 01:00","2024","05","01","01:00","","-16.1","","-19.4","","77","","","","11","","35","","24.1","","102.24","","","","-28","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-05-01 02:00","2024","05","01","02:00","","-15.9","","-19.3","","75","","","","14","","36","","24.1","","102.30","","","","-28","","Blowing Snow"
"-85.81","79.99","EUREKA A","2401203","2024-05-01 03:00","2024","05","01","03:00","","-18.1","","-21.5","","74","","","","12","","30","","24.1","","102.40","","","","-30","","Blowing Snow"
"-85.81","79.99","EUREKA A","2401203","2024-05-01 04:00","2024","05","01","04:00","","-17.7","","-21.6","","72","","","","11","","34","","24.1","","102.50","","","","-30","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-05-01 05:00","2024","05","01","05:00","","-17.5","","-21.4","","72","","","","12","","25","","24.1","","102.54","","","","-28","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-05-01 06:00","2024","05","01","06:00","","-17.5","","-21.5","","72","","","","11","","27","","24.1","","102.56","","","","-29","","Clear"
"-85.81","79.99","EUREKA A","2401203","2024-05-01 07:00","2024","05","01","07:00","","-16.6","","-21.5","","67","","","","12","","36","","24.1","","102.60","","","","-29","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-05-01 08:00","2024","05","01","08:00","","-16.3","","-21.5","","65","","","","13","","31","","24.1","","102.63","","","","-28","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-05-01 09:00","2024","05","01","09:00","","-16.1","","-21.2","","65","","","","12","","34","","24.1","","102.61","","","","-28","","Mainly Clear"
"-85.81","79.99","EUREKA A","2401203","2024-05-01 10:00","2024","05","01","10:00","","-15.6","","-21.2","","63","","","","12","","32","","24.1","","102.65","","","","-27","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-05-01 11:00","2024","05","01","11:00","","-15.4","","-21.2","","61","","","","12","","33","","24.1","","102.66","","","","-27","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-05-01 12:00","2024","05","01","12:00","","-15.1","","-21.2","","60","","","","12","","28","","24.1","","102.67","","","","-26","","Mainly Clear"
"-85.81","79.99","EUREKA A","2401203","2024-05-01 13:00","2024","05","01","13:00","","-14.4","","-21.2","","57","","","","13","","27","","24.1","","102.66","","","","-25","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-05-01 14:00","2024","05","01","14:00","","-14.4","","-21.1","","58","","","","12","","31","","24.1","","102.67","","","","-25","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-05-01 15:00","2024","05","01","15:00","","-14.7","","-20.6","","61","","","","12","","34","","24.1","","102.68","","","","-26","","Mainly Clear"
"-85.81","79.99","EUREKA A","2401203","2024-05-01 16:00","2024","05","01","16:00","","-14.9","","-20.4","","63","","","","13","","31","","24.1","","102.69","","","","-26","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-05-01 17:00","2024","05","01","17:00","","-15.2","","-20.6","","64","","","","13","","34","","24.1","","102.69","","","","-27","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-05-01 18:00","2024","05","01","18:00","","-15.7","","-20.9","","65","","","","12","","33","","24.1","","102.70","","","","-27","","Mainly Clear"
"-85.81","79.99","EUREKA A","2401203","2024-05-01 19:00","2024","05","01","19:00","","-15.4","","-21.2","","62","","","","13","","31","","24.1","","102.69","","","","-27","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-05-01 20:00","2024","05","01","20:00","","-16.4","","-21.9","","63","","","","12","","32","","24.1","","102.70","","","","-28","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-05-01 21:00","2024","05","01","21:00","","-17.6","","-22.4","","67","","","","12","","35","","24.1","","102.67","","","","-30","","Mainly Clear"
"-85.81","79.99","EUREKA A","2401203","2024-05-01 22:00","2024","05","01","22:00"
"-85.81","79.99","EUREKA A","2401203","2024-05-01 23:00","2024","05","01","23:00"
"-85.81","79.99","EUREKA A","2401203","2024-05-02 00:00","2024","05","02","00:00","","-19.8","","-23.9","","70","","","","12","","33","","24.1","","102.71","","","","-33","","Clear"
"-85.81","79.99","EUREKA A","2401203","2024-05-02 01:00","2024","05","02","01:00","","-19.1","","-23.5","","69","","","","12","","34","","24.1","","102.74","","","","-32","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-05-02 02:00","2024","05","02","02:00","","-19.3","","-23.8","","68","","","","12","","30","","24.1","","102.77","","","","-32","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-05-02 03:00","2024","05","02","03:00","","-19.0","","-23.6","","68","","","","11","","24","","24.1","","102.78","","","","-30","","Clear"
"-85.81","79.99","EUREKA A","2401203","2024-05-02 04:00","2024","05","02","04:00","","-20.7","","-25.0","","69","","","","12","","22","","24.1","","102.80","","","","-32","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-05-02 05:00","2024","05","02","05:00","","-19.9","","-24.5","","67","","","","11","","13","","24.1","","102.80","","","","-28","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-05-02 06:00","2024","05","02","06:00","","-19.4","","-24.0","","67","","","","12","","17","","24.1","","102.79","","","","-29","","Clear"
"-85.81","79.99","EUREKA A","2401203","2024-05-02 07:00","2024","05","02","07:00","","-18.9","","-23.8","","66","","","","11","","20","","24.1","","102.79","","","","-29","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-05-02 08:00","2024","05","02","08:00","","-18.4","","-23.3","","66","","","","12","","18","","24.1","","102.79","","","","-28","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-05-02 09:00","2024","05","02","09:00","","-17.2","","-22.8","","63","","","","11","","18","","24.1","","102.79","","","","-26","","Clear"
"-85.81","79.99","EUREKA A","2401203","2024-05-02 10:00","2024","05","02","10:00","","-16.5","","-21.9","","64","","","","11","","22","","24.1","","102.80","","","","-27","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-05-02 11:00","2024","05","02","11:00","","-15.6","","-21.1","","63","","","","11","","27","","24.1","","102.79","","","","-26","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-05-02 12:00","2024","05","02","12:00","","-15.2","","-20.4","","65","","","","12","","28","","24.1","","102.80","","","","-26","","Mainly Clear"
"-85.81","79.99","EUREKA A","2401203","2024-05-02 13:00","2024","05","02","13:00","","-14.7","","-20.3","","63","","","","12","","28","","24.1","","102.82","","","","-25","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-05-02 14:00","2024","05","02","14:00","","-14.5","","-19.9","","64","","","","12","","29","","24.1","","102.83","","","","-25","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-05-02 15:00","2024","05","02","15:00","","-14.3","","-19.6","","65","","","","12","","25","","24.1","","102.85","","","","-24","","Mainly Clear"
"-85.81","79.99","EUREKA A","2401203","2024-05-02 16:00","2024","05","02","16:00","","-14.6","","-19.7","","66","","","","12","","25","","24.1","","102.87","","","","-25","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-05-02 17:00","2024","05","02","17:00","","-14.8","","-19.9","","66","","","","12","","21","","24.1","","102.87","","","","-24","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-05-02 18:00","2024","05","02","18:00","","-15.8","","-20.5","","68","","","","12","","25","","24.1","","102.89","","","","-26","","Clear"
"-85.81","79.99","EUREKA A","2401203","2024-05-02 19:00","2024","05","02","19:00","","-16.9","","-21.4","","69","","","","11","","24","","24.1","","102.89","","","","-27","","NA"
