"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-85.81","79.99","EUREKA A","2401203","2024-10-01 00:00","2024","10","01","00:00","","-8.5","","-10.7","","84","","","","11","","18","","24.1","","100.02","","","","-16","","Mainly Clear"
"-85.81","79.99","EUREKA A","2401203","2024-10-01 01:00","2024","10","01","01:00","","-8.8","","-10.5","","88","","","","9","","12","","24.1","","100.05","","","","-14","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-10-01 02:00","2024","10","01","02:00","","-9.3","","-10.9","","88","","","","3","","16","","24.1","","100.09","","","","-16","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-10-01 03:00","2024","10","01","03:00","","-8.2","","-9.9","","88","","","","12","","25","","24.1","","100.14","","","","-16","","Mostly Cloudy"
"-85.81","79.99","EUREKA A","2401203","2024-10-01 04:00","2024","10","01","04:00","","-8.4","","-10.0","","89","","","","11","","24","","24.1","","100.16","","","","-17","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-10-01 05:00","2024","10","01","05:00","","-8.1","","-9.7","","88","","","","10","","24","","24.1","","100.19","","","","-16","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-10-01 06:00","2024","10","01","06:00","","-6.9","","-9.0","","85","","","","11","","27","","24.1","","100.21","","","","-15","","Mostly Cloudy"
"-85.81","79.99","EUREKA A","2401203","2024-10-01 07:00","2024","10","01","07:00","","-6.6","","-8.7","","86","","","","11","","28","","24.1","","100.24","","","","-15","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-10-01 08:00","2024","10","01","08:00","","-7.9","","-9.4","","89","","","","11","","26","","24.1","","100.28","","","","-16","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-10-01 09:00","2024","10","01","09:00","","-7.5","","-9.3","","86","","","","11","","23","","24.1","","100.32","","","","-15","","Mostly Cloudy"
"-85.81","79.99","EUREKA A","2401203","2024-10-01 10:00","2024","10","01","10:00","","-6.8","","-8.4","","88","","","","11","","20","","24.1","","100.35","","","","-14","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-10-01 11:00","2024","10","01","11:00","","-6.2","","-8.2","","86","","","","12","","7","","24.1","","100.37","","","","-10","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-10-01 12:00","2024","10","01","12:00","","-7.0","","-8.5","","89","","","","10","","14","","24.1","","100.42","","","","-13","","Mostly Cloudy"
"-85.81","79.99","EUREKA A","2401203","2024-10-01 13:00","2024","10","01","13:00","","-6.8","","-8.8","","86","","","","6","","5","","24.1","","100.45","","","","-9","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-10-01 14:00","2024","10","01","14:00","","-6.7","","-9.4","","81","","","","2","","24","","24.1","","100.50","","","","-14","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-10-01 15:00","2024","10","01","15:00","","-5.7","","-7.7","","86","","","","36","","30","","24.1","","100.55","","","","-14","","Mostly Cloudy"
"-85.81","79.99","EUREKA A","2401203","2024-10-01 16:00","2024","10","01","16:00","","-5.8","","-7.5","","87","","","","1","","26","","24.1","","100.61","","","","-14","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-10-01 17:00","2024","10","01","17:00","","-6.5","","-8.2","","87","","","","33","","14","","24.1","","100.64","","","","-12","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-10-01 18:00","2024","10","01","18:00","","-7.0","","-8.3","","91","","","","29","","9","","24.1","","100.67","","","","-11","","Cloudy"
"-85.81","79.99","EUREKA A","2401203","2024-10-01 19:00","2024","10","01","19:00","","-6.6","","-8.5","","86","","","","35","","13","","24.1","","100.72","","","","-12","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-10-01 20:00","2024","10","01","20:00","","-7.2","","-8.8","","88","","","","33","","12","","24.1","","100.71","","","","-13","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-10-01 21:00","2024","10","01","21:00","","-7.2","","-8.6","","90","","","","32","","8","","24.1","","100.70","","","","-11","","Mostly Cloudy"
"-85.81","79.99","EUREKA A","2401203","2024-10-01 22:00","2024","10","01","22:00"
"-85.81","79.99","EUREKA A","2401203","2024-10-01 23:00","2024","10","01","23:00"
"-85.81","79.99","EUREKA A","2401203","2024-10-02 00:00","2024","10","02","00:00","","-6.6","","-9.2","","82","","","","10","","19","","16.1","","100.73","","","","-13","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-10-02 01:00","2024","10","02","01:00","","-7.4","","-9.5","","85","","","","6","","5","","16.1","","100.73","","","","-10","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-10-02 02:00","2024","10","02","02:00","","-6.1","","-8.8","","81","","","","35","","15","","16.1","","100.77","","","","-12","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-10-02 03:00","2024","10","02","03:00","","-5.4","","-8.0","","82","","","","2","","24","","16.1","","100.81","","","","-13","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-10-02 04:00","2024","10","02","04:00","","-5.3","","-7.8","","82","","","","1","","19","","24.1","","100.83","","","","-12","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-10-02 05:00","2024","10","02","05:00","","-5.1","","-7.2","","85","","","","2","","22","","16.1","","100.86","","","","-12","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-10-02 06:00","2024","10","02","06:00","","-5.3","","-8.1","","81","","","","3","","16","","16.1","","100.91","","","","-11","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-10-02 07:00","2024","10","02","07:00","","-5.1","","-8.2","","79","","","","7","","10","","24.1","","100.94","","","","-9","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-10-02 08:00","2024","10","02","08:00","","-4.9","","-7.7","","81","","","","2","","23","","24.1","","100.96","","","","-12","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-10-02 09:00","2024","10","02","09:00","","-4.7","","-7.6","","80","","","","2","","24","","24.1","","100.98","","","","-12","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-10-02 10:00","2024","10","02","10:00","","-4.6","","-7.8","","79","","","","3","","27","","24.1","","101.01","","","","-12","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-10-02 11:00","2024","10","02","11:00","","-4.8","","-7.7","","80","","","","36","","24","","24.1","","101.03","","","","-12","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-10-02 12:00","2024","10","02","12:00","","-4.9","","-8.0","","79","","","","36","","21","","24.1","","101.06","","","","-12","","Mostly Cloudy"
"-85.81","79.99","EUREKA A","2401203","2024-10-02 13:00","2024","10","02","13:00","","-5.5","","-8.4","","80","","","","36","","22","","24.1","","101.07","","","","-13","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-10-02 14:00","2024","10","02","14:00","","-6.3","","-9.1","","80","","","","36","","30","","24.1","","101.06","","","","-15","","NA"
