"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-85.81","79.99","EUREKA A","2401203","2024-08-01 00:00","2024","08","01","00:00","","5.3","","0.8","","72","","","","13","","37","","24.1","","99.77","","","","","","Mostly Cloudy"
"-85.81","79.99","EUREKA A","2401203","2024-08-01 01:00","2024","08","01","01:00","","4.2","","0.7","","78","","","","13","","29","","24.1","","99.78","","","","","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-08-01 02:00","2024","08","01","02:00","","5.5","","0.4","","70","","","","13","","34","","24.1","","99.84","","","","","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-08-01 03:00","2024","08","01","03:00","","6.0","","0.1","","65","","","","13","","36","","24.1","","99.87","","","","","","Mainly Clear"
"-85.81","79.99","EUREKA A","2401203","2024-08-01 04:00","2024","08","01","04:00","","6.8","","0.6","","65","","","","13","","39","","24.1","","99.90","","","","","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-08-01 05:00","2024","08","01","05:00","","7.2","","1.1","","65","","","","11","","34","","24.1","","99.93","","","","","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-08-01 06:00","2024","08","01","06:00","","7.4","","1.4","","66","","","","12","","27","","24.1","","99.95","","","","","","Mostly Cloudy"
"-85.81","79.99","EUREKA A","2401203","2024-08-01 07:00","2024","08","01","07:00","","8.0","","1.4","","63","","","","12","","24","","24.1","","99.98","","","","","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-08-01 08:00","2024","08","01","08:00","","7.7","","1.1","","63","","","","13","","21","","24.1","","100.00","","","","","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-08-01 09:00","2024","08","01","09:00","","7.6","","1.4","","65","","","","12","","22","","24.1","","99.99","","","","","","Mostly Cloudy"
"-85.81","79.99","EUREKA A","2401203","2024-08-01 10:00","2024","08","01","10:00","","7.8","","1.3","","63","","","","12","","22","","24.1","","99.99","","","","","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-08-01 11:00","2024","08","01","11:00","","9.5","","1.5","","57","","","","11","","21","","24.1","","99.99","","","","","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-08-01 12:00","2024","08","01","12:00","","10.3","","1.8","","55","","","","12","","19","","24.1","","100.00","","","","","","Mostly Cloudy"
"-85.81","79.99","EUREKA A","2401203","2024-08-01 13:00","2024","08","01","13:00","","10.0","","1.3","","55","","","","15","","19","","24.1","","100.00","","","","","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-08-01 14:00","2024","08","01","14:00","","10.8","","2.0","","54","","","","12","","21","","24.1","","100.02","","","","","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-08-01 15:00","2024","08","01","15:00","","11.2","","1.6","","51","","","","11","","28","","24.1","","100.02","","","","","","Mostly Cloudy"
"-85.81","79.99","EUREKA A","2401203","2024-08-01 16:00","2024","08","01","16:00","","10.3","","2.0","","56","","","","12","","23","","24.1","","100.05","","","","","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-08-01 17:00","2024","08","01","17:00","","11.5","","2.7","","54","","","","11","","30","","24.1","","100.04","","","","","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-08-01 18:00","2024","08","01","18:00","","11.8","","2.0","","51","","","","11","","32","","24.1","","100.07","","","","","","Mostly Cloudy"
