"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-85.81","79.99","EUREKA A","2401203","2024-02-01 00:00","2024","02","01","00:00","","-41.0","","-45.6","","62","","","","9","","16","","24.1","","99.88","","","","-55","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-02-01 01:00","2024","02","01","01:00","","-41.0","","-45.5","","63","","","","9","","16","","24.1","","99.88","","","","-55","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-02-01 02:00","2024","02","01","02:00","","-40.6","","-45.1","","63","","","","9","","19","","24.1","","99.92","","","","-56","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-02-01 03:00","2024","02","01","03:00","","-39.9","","-44.5","","63","","","","9","","10","","24.1","","99.92","","","","-51","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-02-01 04:00","2024","02","01","04:00","","-39.6","","-44.1","","63","","","","10","","18","","24.1","","99.95","","","","-54","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-02-01 05:00","2024","02","01","05:00","","-39.3","","-43.9","","63","","","","9","","12","","24.1","","99.92","","","","-51","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-02-01 06:00","2024","02","01","06:00","","-38.2","","-42.7","","64","","","","","","0","","12.9","","99.91","","","","","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-02-01 07:00","2024","02","01","07:00","","-38.2","","-42.7","","64","","","","11","","18","","12.9","","99.92","","","","-53","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-02-01 08:00","2024","02","01","08:00","","-38.1","","-42.5","","64","","","","11","","19","","12.9","","99.90","","","","-53","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-02-01 09:00","2024","02","01","09:00","","-37.8","","-42.2","","64","","","","10","","19","","12.9","","99.93","","","","-53","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-02-01 10:00","2024","02","01","10:00","","-37.4","","-41.8","","64","","","","10","","19","","4.8","","99.92","","","","-52","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-02-01 11:00","2024","02","01","11:00","","-36.5","","-40.9","","65","","","","10","","20","","4.8","","99.89","","","","-51","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-02-01 12:00","2024","02","01","12:00","","-36.3","","-40.7","","65","","","","10","","20","","4.0","","99.88","","","","-51","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-02-01 13:00","2024","02","01","13:00","","-35.7","","-40.0","","65","","","","12","","21","","4.0","","99.92","","","","-51","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-02-01 14:00","2024","02","01","14:00","","-35.1","","-39.4","","66","","","","11","","21","","4.0","","99.91","","","","-50","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-02-01 15:00","2024","02","01","15:00","","-34.8","","-39.1","","66","","","","11","","23","","3.2","","99.92","","","","-50","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-02-01 16:00","2024","02","01","16:00","","-34.3","","-38.5","","66","","","","11","","23","","3.2","","99.95","","","","-49","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-02-01 17:00","2024","02","01","17:00","","-33.7","","-38.0","","67","","","","11","","26","","4.0","","99.95","","","","-49","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-02-01 18:00","2024","02","01","18:00","","-33.6","","-37.8","","67","","","","11","","27","","9.7","","99.95","","","","-50","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-02-01 19:00","2024","02","01","19:00","","-33.3","","-37.5","","67","","","","12","","24","","9.7","","99.96","","","","-48","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-02-01 20:00","2024","02","01","20:00","","-32.5","","-36.6","","67","","","","11","","23","","9.7","","99.94","","","","-47","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-02-01 21:00","2024","02","01","21:00","","-32.4","","-36.5","","68","","","","11","","26","","9.7","","99.95","","","","-48","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-02-01 22:00","2024","02","01","22:00"
"-85.81","79.99","EUREKA A","2401203","2024-02-01 23:00","2024","02","01","23:00"
"-85.81","79.99","EUREKA A","2401203","2024-02-02 00:00","2024","02","02","00:00","","-30.8","","-34.9","","69","","","","11","","24","","16.1","","99.92","","","","-45","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-02-02 01:00","2024","02","02","01:00","","-30.4","","-34.4","","69","","","","11","","23","","9.7","","99.94","","","","-44","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-02-02 02:00","2024","02","02","02:00","","-29.6","","-33.6","","69","","","","10","","21","","9.7","","99.92","","","","-43","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-02-02 03:00","2024","02","02","03:00","","-29.1","","-33.0","","70","","","","11","","18","","3.2","","99.93","","","","-41","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-02-02 04:00","2024","02","02","04:00","","-28.8","","-32.6","","70","","","","11","","26","","4.8","","99.96","","","","-43","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-02-02 05:00","2024","02","02","05:00","","-28.4","","-32.2","","70","","","","9","","21","","9.7","","99.95","","","","-41","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-02-02 06:00","2024","02","02","06:00","","-28.0","","-31.8","","71","","","","9","","12","","8.1","","99.98","","","","-38","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-02-02 07:00","2024","02","02","07:00","","-27.9","","-31.6","","71","","","","11","","14","","9.7","","99.94","","","","-38","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-02-02 08:00","2024","02","02","08:00","","-28.1","","-31.8","","71","","","","15","","4","","9.7","","99.97","","","","-32","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-02-02 09:00","2024","02","02","09:00","","-29.3","","-33.2","","70","","","","6","","4","","12.9","","100.01","","","","-34","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-02-02 10:00","2024","02","02","10:00","","-29.1","","-33.0","","70","","","","10","","14","","9.7","","100.03","","","","-40","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-02-02 11:00","2024","02","02","11:00","","-30.7","","-34.6","","69","","","","5","","3","","4.8","","100.05","","","","-34","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-02-02 12:00","2024","02","02","12:00","","-29.4","","-33.2","","70","","","","7","","6","","4.8","","100.09","","","","-36","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-02-02 13:00","2024","02","02","13:00","","-28.5","","-32.3","","71","","","","9","","9","","4.8","","100.15","","","","-37","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-02-02 14:00","2024","02","02","14:00","","-28.2","","-32.0","","71","","","","10","","20","","4.8","","100.18","","","","-41","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-02-02 15:00","2024","02","02","15:00","","-28.0","","-31.8","","71","","","","11","","17","","9.7","","100.21","","","","-40","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-02-02 16:00","2024","02","02","16:00","","-27.5","","-31.2","","71","","","","10","","20","","9.7","","100.24","","","","-40","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-02-02 17:00","2024","02","02","17:00","","-27.3","","-31.0","","72","","","","12","","22","","16.1","","100.27","","","","-40","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-02-02 18:00","2024","02","02","18:00","","-27.2","","-30.9","","72","","","","12","","28","","24.1","","100.28","","","","-42","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-02-02 19:00","2024","02","02","19:00","","-27.0","","-30.6","","72","","","","13","","15","","24.1","","100.31","","","","-38","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-02-02 20:00","2024","02","02","20:00","","-26.6","","-30.2","","72","","","","12","","23","","24.1","","100.34","","","","-40","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-02-02 21:00","2024","02","02","21:00","","-27.1","","-30.8","","72","","","","12","","32","","24.1","","100.38","","","","-42","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-02-02 22:00","2024","02","02","22:00"
"-85.81","79.99","EUREKA A","2401203","2024-02-02 23:00","2024","02","02","23:00"
"-85.81","79.99","EUREKA A","2401203","2024-02-03 00:00","2024","02","03","00:00","","-27.0","","-30.6","","72","","","","12","","34","","24.1","","100.47","","","","-42","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-02-03 01:00","2024","02","03","01:00","","-26.9","","-30.6","","72","","","","11","","31","","24.1","","100.49","","","","-42","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-02-03 02:00","2024","02","03","02:00","","-27.0","","-30.6","","72","","","","12","","31","","24.1","","100.51","","","","-42","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-02-03 03:00","2024","02","03","03:00","","-26.7","","-30.3","","72","","","","12","","32","","24.1","","100.53","","","","-42","","Ice Crystals"
