"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-85.81","79.99","EUREKA A","2401203","2024-07-01 00:00","2024","07","01","00:00","","6.1","","1.6","","73","","","","12","","20","","24.1","","98.97","","","","","","Mostly Cloudy"
"-85.81","79.99","EUREKA A","2401203","2024-07-01 01:00","2024","07","01","01:00","","6.2","","1.5","","72","","","","12","","19","","24.1","","98.95","","","","","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-07-01 02:00","2024","07","01","02:00","","6.7","","1.6","","70","","","","9","","9","","24.1","","98.95","","","","","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-07-01 03:00","2024","07","01","03:00","","7.2","","1.9","","69","","","","8","","4","","24.1","","98.93","","","","","","Mostly Cloudy"
"-85.81","79.99","EUREKA A","2401203","2024-07-01 04:00","2024","07","01","04:00","","7.8","","2.0","","67","","","","1","","13","","24.1","","98.91","","","","","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-07-01 05:00","2024","07","01","05:00","","6.9","","2.0","","71","","","","36","","3","","24.1","","98.89","","","","","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-07-01 06:00","2024","07","01","06:00","","6.5","","1.6","","71","","","","33","","13","","24.1","","98.86","","","","","","Mostly Cloudy"
"-85.81","79.99","EUREKA A","2401203","2024-07-01 07:00","2024","07","01","07:00","","7.7","","2.0","","67","","","","27","","14","","24.1","","98.80","","","","","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-07-01 08:00","2024","07","01","08:00","","6.1","","1.4","","72","","","","26","","18","","24.1","","98.75","","","","","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-07-01 09:00","2024","07","01","09:00","","7.2","","1.8","","69","","","","27","","18","","24.1","","98.70","","","","","","Mainly Clear"
