"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-85.81","79.99","EUREKA A","2401203","2024-11-01 00:00","2024","11","01","00:00","","-20.9","","-23.5","","80","","","","10","","13","","16.1","","100.58","","","","-30","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-11-01 01:00","2024","11","01","01:00","","-21.9","","-24.5","","79","","","","11","","23","","6.4","","100.56","","","","-34","","Snow,Fog"
"-85.81","79.99","EUREKA A","2401203","2024-11-01 02:00","2024","11","01","02:00","","-21.0","","-23.6","","80","","","","11","","20","","9.7","","100.54","","","","-32","","Snow,Fog"
"-85.81","79.99","EUREKA A","2401203","2024-11-01 03:00","2024","11","01","03:00","","-22.5","","-25.3","","79","","","","6","","7","","9.7","","100.51","","","","-29","","Snow,Fog"
"-85.81","79.99","EUREKA A","2401203","2024-11-01 04:00","2024","11","01","04:00","","-20.8","","-23.5","","80","","","","6","","9","","6.4","","100.47","","","","-28","","Snow,Fog"
"-85.81","79.99","EUREKA A","2401203","2024-11-01 05:00","2024","11","01","05:00","","-20.9","","-23.5","","80","","","","9","","15","","6.4","","100.43","","","","-30","","Snow,Fog"
"-85.81","79.99","EUREKA A","2401203","2024-11-01 06:00","2024","11","01","06:00","","-21.1","","-23.7","","80","","","","4","","4","","9.7","","100.39","","","","-25","","Snow,Fog"
"-85.81","79.99","EUREKA A","2401203","2024-11-01 07:00","2024","11","01","07:00","","-18.4","","-20.9","","82","","","","11","","12","","4.8","","100.33","","","","-26","","Snow,Fog"
"-85.81","79.99","EUREKA A","2401203","2024-11-01 08:00","2024","11","01","08:00","","-17.9","","-20.3","","82","","","","10","","18","","4.8","","100.29","","","","-27","","Snow,Fog"
"-85.81","79.99","EUREKA A","2401203","2024-11-01 09:00","2024","11","01","09:00","","-19.7","","-22.3","","80","","","","10","","22","","3.2","","100.24","","","","-31","","Snow,Fog"
"-85.81","79.99","EUREKA A","2401203","2024-11-01 10:00","2024","11","01","10:00","","-19.7","","-22.2","","81","","","","10","","23","","3.2","","100.18","","","","-31","","Snow,Fog"
"-85.81","79.99","EUREKA A","2401203","2024-11-01 11:00","2024","11","01","11:00","","-20.2","","-22.8","","80","","","","11","","26","","4.0","","100.13","","","","-32","","Snow,Fog"
"-85.81","79.99","EUREKA A","2401203","2024-11-01 12:00","2024","11","01","12:00","","-19.0","","-21.5","","81","","","","12","","18","","4.0","","100.08","","","","-29","","Snow,Fog"
"-85.81","79.99","EUREKA A","2401203","2024-11-01 13:00","2024","11","01","13:00","","-18.0","","-20.4","","82","","","","12","","23","","2.4","","100.05","","","","-29","","Snow,Fog"
"-85.81","79.99","EUREKA A","2401203","2024-11-01 14:00","2024","11","01","14:00","","-17.9","","-20.3","","82","","","","11","","27","","2.4","","100.00","","","","-29","","Snow,Fog"
"-85.81","79.99","EUREKA A","2401203","2024-11-01 15:00","2024","11","01","15:00","","-18.1","","-20.5","","82","","","","11","","26","","2.4","","99.96","","","","-29","","Snow,Fog"
"-85.81","79.99","EUREKA A","2401203","2024-11-01 16:00","2024","11","01","16:00","","-18.3","","-20.7","","82","","","","11","","23","","4.0","","99.92","","","","-29","","Snow,Fog"
"-85.81","79.99","EUREKA A","2401203","2024-11-01 17:00","2024","11","01","17:00","","-18.0","","-20.4","","82","","","","11","","21","","4.0","","99.88","","","","-28","","Snow,Fog"
"-85.81","79.99","EUREKA A","2401203","2024-11-01 18:00","2024","11","01","18:00","","-17.6","","-19.9","","82","","","","10","","17","","4.0","","99.82","","","","-27","","Snow,Fog"
"-85.81","79.99","EUREKA A","2401203","2024-11-01 19:00","2024","11","01","19:00","","-17.2","","-19.5","","83","","","","11","","21","","4.0","","99.78","","","","-27","","Snow,Fog"
"-85.81","79.99","EUREKA A","2401203","2024-11-01 20:00","2024","11","01","20:00","","-16.1","","-18.3","","84","","","","10","","25","","4.0","","99.76","","","","-27","","Snow,Fog"
"-85.81","79.99","EUREKA A","2401203","2024-11-01 21:00","2024","11","01","21:00","","-16.4","","-18.6","","83","","","","10","","19","","4.0","","99.72","","","","-26","","Snow,Fog"
"-85.81","79.99","EUREKA A","2401203","2024-11-01 22:00","2024","11","01","22:00"
"-85.81","79.99","EUREKA A","2401203","2024-11-01 23:00","2024","11","01","23:00"
"-85.81","79.99","EUREKA A","2401203","2024-11-02 00:00","2024","11","02","00:00","","-15.7","","-17.9","","84","","","","27","","7","","16.1","","99.68","","","","-21","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-11-02 01:00","2024","11","02","01:00","","-16.9","","-19.2","","83","","","","11","","14","","16.1","","99.67","","","","-25","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-11-02 02:00","2024","11","02","02:00","","-18.0","","-20.3","","82","","","","11","","28","","9.7","","99.68","","","","-30","","Snow,Fog"
"-85.81","79.99","EUREKA A","2401203","2024-11-02 03:00","2024","11","02","03:00","","-17.5","","-19.8","","82","","","","8","","5","","4.8","","99.69","","","","-21","","Snow,Fog"
"-85.81","79.99","EUREKA A","2401203","2024-11-02 04:00","2024","11","02","04:00","","-17.4","","-19.8","","82","","","","8","","4","","9.7","","99.65","","","","-21","","Snow,Fog"
"-85.81","79.99","EUREKA A","2401203","2024-11-02 05:00","2024","11","02","05:00","","-19.1","","-21.5","","82","","","","11","","23","","16.1","","99.67","","","","-30","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-11-02 06:00","2024","11","02","06:00","","-22.1","","-24.8","","79","","","","6","","4","","24.1","","99.67","","","","-26","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-11-02 07:00","2024","11","02","07:00","","-21.4","","-24.0","","80","","","","9","","13","","24.1","","99.68","","","","-30","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-11-02 08:00","2024","11","02","08:00","","-21.9","","-24.6","","79","","","","10","","13","","24.1","","99.67","","","","-31","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-11-02 09:00","2024","11","02","09:00","","-21.2","","-23.9","","79","","","","11","","18","","24.1","","99.66","","","","-31","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-11-02 10:00","2024","11","02","10:00","","-21.1","","-23.7","","80","","","","10","","19","","24.1","","99.67","","","","-32","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-11-02 11:00","2024","11","02","11:00","","-20.2","","-22.8","","80","","","","9","","14","","24.1","","99.68","","","","-29","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-11-02 12:00","2024","11","02","12:00","","-19.3","","-21.8","","81","","","","6","","8","","24.1","","99.68","","","","-25","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-11-02 13:00","2024","11","02","13:00","","-19.3","","-21.8","","81","","","","10","","22","","24.1","","99.71","","","","-30","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-11-02 14:00","2024","11","02","14:00","","-20.6","","-23.1","","80","","","","11","","23","","24.1","","99.73","","","","-32","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-11-02 15:00","2024","11","02","15:00","","-19.1","","-21.6","","81","","","","10","","12","","24.1","","99.73","","","","-27","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-11-02 16:00","2024","11","02","16:00","","-18.2","","-20.6","","82","","","","11","","22","","24.1","","99.75","","","","-29","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-11-02 17:00","2024","11","02","17:00","","-20.5","","-23.1","","80","","","","9","","12","","24.1","","99.79","","","","-29","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-11-02 18:00","2024","11","02","18:00","","-22.2","","-24.9","","79","","","","6","","5","","24.1","","99.79","","","","-27","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-11-02 19:00","2024","11","02","19:00","","-21.0","","-23.6","","80","","","","1","","8","","24.1","","99.82","","","","-27","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-11-02 20:00","2024","11","02","20:00","","-20.1","","-22.7","","80","","","","10","","15","","24.1","","99.81","","","","-29","","Ice Crystals"
"-85.81","79.99","EUREKA A","2401203","2024-11-02 21:00","2024","11","02","21:00","","-20.3","","-22.8","","80","","","","10","","17","","1.6","","99.80","","","","-30","","Ice Crystals,Fog"
"-85.81","79.99","EUREKA A","2401203","2024-11-02 22:00","2024","11","02","22:00"
"-85.81","79.99","EUREKA A","2401203","2024-11-02 23:00","2024","11","02","23:00"
