"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-85.81","79.99","EUREKA A","2401203","2024-09-01 00:00","2024","09","01","00:00","","0.7","","-1.9","","83","","","","12","","34","","24.1","","98.69","","","","","","Cloudy"
"-85.81","79.99","EUREKA A","2401203","2024-09-01 01:00","2024","09","01","01:00","","0.5","","-1.8","","85","","","","12","","45","","24.1","","98.63","","","","","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-09-01 02:00","2024","09","01","02:00","","0.6","","-1.9","","84","","","","13","","43","","24.1","","98.61","","","","","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-09-01 03:00","2024","09","01","03:00","","0.1","","-0.8","","94","","","","13","","34","","12.9","","98.59","","","","","","Cloudy"
"-85.81","79.99","EUREKA A","2401203","2024-09-01 04:00","2024","09","01","04:00","","0.1","","-0.7","","94","","","","13","","38","","11.3","","98.55","","","","","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-09-01 05:00","2024","09","01","05:00","","0.1","","-0.2","","98","","","","13","","34","","8.1","","98.55","","","","","","Snow,Fog"
"-85.81","79.99","EUREKA A","2401203","2024-09-01 06:00","2024","09","01","06:00","","0.2","","-0.4","","96","","","","13","","40","","12.9","","98.50","","","","","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-09-01 07:00","2024","09","01","07:00","","0.3","","-0.3","","95","","","","12","","30","","16.1","","98.47","","","","","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-09-01 08:00","2024","09","01","08:00","","0.6","","-0.6","","92","","","","13","","40","","19.3","","98.43","","","","","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-09-01 09:00","2024","09","01","09:00","","1.0","","-0.8","","87","","","","13","","36","","16.1","","98.43","","","","","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-09-01 10:00","2024","09","01","10:00","","0.4","","0.2","","99","","","","14","","36","","4.0","","98.41","","","","","","Snow,Fog"
"-85.81","79.99","EUREKA A","2401203","2024-09-01 11:00","2024","09","01","11:00","","0.9","","0.0","","94","","","","14","","35","","4.0","","98.42","","","","","","Snow,Fog"
"-85.81","79.99","EUREKA A","2401203","2024-09-01 12:00","2024","09","01","12:00","","1.2","","-0.1","","91","","","","14","","39","","9.7","","98.40","","","","","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-09-01 13:00","2024","09","01","13:00","","1.3","","-0.3","","89","","","","15","","34","","4.8","","98.41","","","","","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-09-01 14:00","2024","09","01","14:00","","0.6","","0.1","","96","","","","13","","41","","2.0","","98.42","","","","","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-09-01 15:00","2024","09","01","15:00","","1.0","","0.0","","93","","","","14","","46","","4.8","","98.43","","","","","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-09-01 16:00","2024","09","01","16:00","","0.7","","-0.4","","93","","","","13","","37","","6.4","","98.47","","","","","","Rain,Fog"
"-85.81","79.99","EUREKA A","2401203","2024-09-01 17:00","2024","09","01","17:00","","0.6","","-0.8","","90","","","","12","","37","","24.1","","98.49","","","","","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-09-01 18:00","2024","09","01","18:00","","0.6","","-1.2","","88","","","","13","","40","","24.1","","98.52","","","","","","Cloudy"
"-85.81","79.99","EUREKA A","2401203","2024-09-01 19:00","2024","09","01","19:00","","0.4","","-1.5","","87","","","","13","","34","","24.1","","98.52","","","","","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-09-01 20:00","2024","09","01","20:00","","0.4","","-1.6","","86","","","","13","","41","","24.1","","98.54","","","","","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-09-01 21:00","2024","09","01","21:00","","0.1","","-1.3","","90","","","","13","","30","","24.1","","98.57","","","","","","Cloudy"
"-85.81","79.99","EUREKA A","2401203","2024-09-01 22:00","2024","09","01","22:00"
"-85.81","79.99","EUREKA A","2401203","2024-09-01 23:00","2024","09","01","23:00"
"-85.81","79.99","EUREKA A","2401203","2024-09-02 00:00","2024","09","02","00:00","","0.1","","-0.7","","95","","","","12","","35","","24.1","","98.66","","","","","","Cloudy"
"-85.81","79.99","EUREKA A","2401203","2024-09-02 01:00","2024","09","02","01:00","","0.3","","-0.9","","92","","","","13","","36","","24.1","","98.72","","","","","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-09-02 02:00","2024","09","02","02:00","","0.2","","-0.5","","95","","","","12","","39","","12.9","","98.77","","","","","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-09-02 03:00","2024","09","02","03:00","","0.0","","-0.8","","94","","","","13","","39","","6.4","","98.77","","","","-7","","Snow,Fog"
"-85.81","79.99","EUREKA A","2401203","2024-09-02 04:00","2024","09","02","04:00","","-0.1","","-0.8","","94","","","","13","","45","","16.1","","98.81","","","","-8","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-09-02 05:00","2024","09","02","05:00","","-0.1","","-0.4","","98","","","","13","","41","","19.3","","98.85","","","","-8","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-09-02 06:00","2024","09","02","06:00","","-0.1","","-0.3","","98","","","","14","","39","","16.1","","98.87","","","","-7","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-09-02 07:00","2024","09","02","07:00","","0.0","","-0.8","","94","","","","14","","40","","16.1","","98.91","","","","-7","","Snow"
"-85.81","79.99","EUREKA A","2401203","2024-09-02 08:00","2024","09","02","08:00","","0.0","","-0.2","","98","","","","16","","34","","19.3","","98.95","","","","-7","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-09-02 09:00","2024","09","02","09:00","","0.8","","-0.4","","92","","","","16","","38","","19.3","","98.96","","","","","","Mostly Cloudy"
"-85.81","79.99","EUREKA A","2401203","2024-09-02 10:00","2024","09","02","10:00","","0.8","","-0.1","","94","","","","15","","35","","24.1","","99.00","","","","","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-09-02 11:00","2024","09","02","11:00","","0.9","","-0.2","","92","","","","15","","34","","24.1","","99.05","","","","","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-09-02 12:00","2024","09","02","12:00","","1.0","","-0.8","","88","","","","15","","40","","24.1","","99.08","","","","","","Mostly Cloudy"
"-85.81","79.99","EUREKA A","2401203","2024-09-02 13:00","2024","09","02","13:00","","0.9","","-0.9","","88","","","","15","","41","","24.1","","99.09","","","","","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-09-02 14:00","2024","09","02","14:00","","1.1","","-0.4","","90","","","","14","","33","","24.1","","99.19","","","","","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-09-02 15:00","2024","09","02","15:00","","1.1","","-0.9","","87","","","","15","","31","","24.1","","99.22","","","","","","Mostly Cloudy"
"-85.81","79.99","EUREKA A","2401203","2024-09-02 16:00","2024","09","02","16:00","","1.3","","-1.0","","85","","","","14","","32","","24.1","","99.25","","","","","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-09-02 17:00","2024","09","02","17:00","","1.2","","-0.9","","86","","","","14","","29","","24.1","","99.29","","","","","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-09-02 18:00","2024","09","02","18:00","","1.0","","-0.8","","88","","","","12","","37","","24.1","","99.30","","","","","","Mostly Cloudy"
"-85.81","79.99","EUREKA A","2401203","2024-09-02 19:00","2024","09","02","19:00","","1.0","","-0.8","","88","","","","12","","36","","24.1","","99.34","","","","","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-09-02 20:00","2024","09","02","20:00","","1.0","","-1.1","","86","","","","11","","30","","24.1","","99.37","","","","","","NA"
"-85.81","79.99","EUREKA A","2401203","2024-09-02 21:00","2024","09","02","21:00","","0.6","","-0.9","","90","","","","12","","37","","24.1","","99.37","","","","","","Cloudy"
"-85.81","79.99","EUREKA A","2401203","2024-09-02 22:00","2024","09","02","22:00"
"-85.81","79.99","EUREKA A","2401203","2024-09-02 23:00","2024","09","02","23:00"
"-85.81","79.99","EUREKA A","2401203","2024-09-03 00:00","2024","09","03","00:00","","0.1","","-0.6","","95","","","","12","","31","","24.1","","99.47","","","","","","Mostly Cloudy"
"-85.81","79.99","EUREKA A","2401203","2024-09-03 01:00","2024","09","03","01:00","","0.5","","-0.8","","91","","","","13","","33","","24.1","","99.48","","","","","","NA"
